Charge,ChargeDensity,pI,InstabilityInd,Aromaticity,AliphaticInd,BomanInd,HydrophRatio,Length,AASI,ABHPRK,argos,bulkiness,charge_phys,charge_acid,cougar,eisenberg,Ez,flexibility,grantham,gravy,hopp-woods,ISAECI,janin,kytedoolittle,levitt_alpha,MSS,MSW,pepArc,pepcats,polarity,PPCALI,refractivity,t_scale,TM_tend,z3,z5
0.569608756,0.482970246,1.064102718,0.155801752,1.163468206,0.060566297,0.632821412,-1.087132157,0.0519902,0.680498464,1.231571988,-0.393389605,0.900704627,0.543844332,0.576416297,-0.271832472,-0.714690117,0.478809693,0.019228495,1.384285359,-0.896389219,0.021053917,0.421785016,-1.180068279,-0.907331682,0.010115942,1.15792196,0.932920447,0.459028318,1.488159372,0.442811671,-0.819773333,0.901798202,1.048996436,-0.415242878,0.371419092,0.077591072
-2.795632583,-1.90928208,-1.180110338,0.623298818,-1.757468351,-0.038508834,2.669374518,-0.69072857,0.179816353,2.114865625,1.613657197,-0.784293685,-0.111240125,-1.971651779,-2.150336003,-0.939849204,-2.579324977,-0.536307801,1.093955044,1.160671427,-2.028325629,3.122527093,-1.874750929,-2.477845565,-2.02772102,2.709729986,0.678173416,0.094644247,2.707319054,0.975381073,2.886995986,1.681627116,0.26933147,2.037507862,-2.637748902,1.728114639,1.015196255
-0.698508059,-1.709637627,-1.263321301,-1.273181672,1.107819284,0.269033911,-0.329696697,1.358260206,-0.629749285,0.976350326,0.466508246,0.722383597,-1.031732737,-1.731854032,-1.990660593,1.172299355,0.445618943,1.13742052,-0.669985897,-2.80E-05,0.463308434,1.297375583,0.326661096,-0.162264821,0.459425741,1.47280284,-1.430884644,-1.324455456,0.911015615,-1.128266846,0.927360481,1.882795372,-0.643019491,0.611906822,-0.455311636,-0.034361026,0.030932313
0.170246595,0.065671599,-0.299420146,-1.001054417,0.611635328,0.371385718,-0.164308846,-0.524721819,-0.407237092,0.496644438,0.663910162,-0.480982758,-0.049243036,0.053871273,0.031680749,0.942386403,0.163704874,0.682102976,0.898717303,0.426861107,-0.058747434,0.31964415,0.411628446,-0.495325661,-0.046324424,-0.3099479,-0.284745517,-0.117858757,0.177973819,0.072236083,0.229657458,0.27556951,-0.250161986,0.166402987,-0.074015764,-0.67848213,-0.894341611
0.069512274,-0.067834596,-0.377044507,-0.903466997,0.405500082,0.371385718,-0.207461012,-0.628111988,-0.407237092,0.616532802,0.612631045,-0.571918737,-0.097385286,-0.069596172,0.031680749,1.077812625,0.205379769,0.604394725,0.839728327,0.327292806,-0.095417611,0.285874067,0.312307605,-0.455837157,-0.0852803,-0.308676411,-0.258221118,-0.213260453,0.177973819,0.121637697,0.295065255,0.198412204,-0.361244357,0.122698344,-0.106978864,-0.625448585,-0.876833003
0.27970842,0.209107018,0.042179314,-1.110452416,0.611635328,0.371385718,-0.232564394,-0.524721819,-0.407237092,0.522826955,0.663910162,-0.541407323,-0.06383734,0.204775928,0.289028241,0.946828575,0.19361274,0.616754413,0.736939153,0.431951597,-0.090417132,0.249691834,0.479645671,-0.503889433,-0.078288219,-0.293418549,-0.261228411,-0.103181573,0.177973819,0.171039311,0.267170754,0.136129976,-0.249349401,0.183367943,-0.094582484,-0.554873175,-0.644198138
-0.136372694,-0.044977854,-0.256164821,0.264062947,0.659434806,-0.247645182,0.929774275,-0.593648599,0.141941937,0.33276905,0.444673359,-0.791767388,0.167169098,0.026632884,0.128652269,-0.424888268,-0.700475413,-0.530428902,0.40904429,0.574249104,-0.627497527,-0.046757758,-0.564029363,-0.342956717,-0.621781322,-0.12934125,0.772612322,0.848789585,0.264409009,1.090338904,0.271269206,-0.498310387,0.692201162,0.567305002,-0.17346445,0.662949264,0.535336692
-0.037951688,0.038361096,-0.540134074,-0.469383524,0.713640399,0.240458167,-0.07464959,-0.082027141,0.212956467,-0.097822747,0.673602088,0.016878975,0.612021499,0.09238708,-0.152265226,-0.175100864,-0.111030993,0.399620804,0.12437669,0.686358881,-0.047383232,0.382650141,0.925714117,-0.588284607,-0.043676223,-0.053382482,0.033482803,0.149770658,0.41252704,0.26542865,-0.133317033,0.140391507,0.533025269,0.316456118,-0.252510459,-0.336374876,-0.71998444
-0.448144366,-0.22369942,-0.491651518,0.129833479,1.245057543,-0.370615752,0.632331295,-0.246732357,0.265033789,0.196175194,0.254696011,-0.513296887,-0.127196483,-0.149909056,-0.01603932,-0.237998602,-0.337569266,-0.243348906,0.001761824,0.451249481,-0.452780734,-0.375869408,-0.367462195,0.011260203,-0.44890486,-0.149462465,0.523251275,0.814662729,0.015597774,0.954921865,0.098742059,-0.694144926,0.651663354,0.574347401,0.149350425,0.860290366,1.038716299
-0.031116896,0.076719761,-0.14338734,-0.895511299,-0.330697228,0.804663318,-0.996448027,0.603708031,0.492280284,0.190860209,-0.591695657,0.046377544,-0.318579712,0.173419126,0.166972011,1.17886261,0.860004814,-0.604788487,-0.129946473,-0.581689678,0.855625801,-0.226121747,0.28483346,0.610488381,0.865428581,-0.356484381,-1.235285382,-0.852815663,-0.507416072,-1.121871494,-0.453689117,0.326984987,-0.806428777,-0.704897563,0.521300229,-1.105975241,-1.132794912
-2.690902537,-3.776026213,-1.494985587,-0.063293168,-0.502314084,0.489581602,0.802170781,0.465358877,-0.44984581,2.124683154,1.42290902,1.013818994,0.290637183,-3.936607453,-3.935901779,1.595671547,-0.281201823,2.551190985,0.250284201,0.942304915,-0.186971628,1.52573453,-0.223117346,-0.185851489,-0.199121556,1.841132876,0.594017209,-0.39290301,1.490147762,-0.353730144,1.041766054,1.938746094,0.373283171,2.02190721,-0.685632672,0.254830814,-0.770120024
0.162991201,-0.111921411,-0.682314721,-1.284080807,0.713640399,-0.904103857,0.639556666,-0.821035913,-0.705498117,0.466647488,1.406664395,-1.273231019,0.07939163,-0.231956564,-0.392809965,-0.409178211,-0.770146376,0.135022081,0.363066149,0.576931315,-1.032586351,1.374698144,0.352741195,-1.431386158,-1.016045642,0.219266615,0.012652122,-0.130778063,1.031929726,0.238266252,1.351833537,1.887009676,0.083941591,0.759272079,-1.31036581,0.763231216,1.065299797
-0.16318611,-0.549567693,-0.505372996,-0.659651128,-0.168846216,0.280350219,-0.971907062,-0.04644363,-0.54453185,0.911372762,-0.379287157,0.423280374,-0.719802619,-0.514037093,0.000248985,2.037082157,1.055281896,0.601746933,-0.155266067,-0.403030382,0.605743649,-0.595112651,0.251991445,1.014709211,0.597004151,-0.441959478,-1.191499187,-0.504556748,-0.757857559,-0.826043637,-0.551777753,-0.159425879,-0.565706363,-0.42808439,0.785119564,-1.108378751,-1.140327584
-2.169460474,-2.974595653,-1.418896725,0.919675284,-0.330697228,0.132800475,1.274841503,0.229892145,-0.435642904,1.376407411,1.532991313,1.04332925,0.349699126,-3.15325351,-3.323863172,0.476105671,-0.755205866,2.544537876,0.581888376,1.060710178,-0.475064339,1.619291134,-0.236789933,-0.511180378,-0.485041793,1.64175403,0.816130352,0.021832381,1.563556094,-0.052230318,1.003803779,1.735268893,0.605124195,1.886834102,-0.786141654,0.479118479,-0.225767754
-2.707095737,-3.826958285,-1.494985587,-0.27462597,-0.502314084,0.532916481,0.608013038,0.794016369,-0.44984581,2.103510814,1.259902551,1.126656941,0.285616349,-3.951143709,-3.94953607,1.699733027,-0.074954114,2.398075069,-0.132230667,0.843361324,0.130939597,1.438833275,-0.125534562,0.062176524,0.122104012,1.862689246,0.565345187,-0.622066054,1.490147762,-0.353730144,0.834186971,2.136025021,0.362191509,1.887964107,-0.484723259,0.021983923,-1.090525079
